t_s,frame_s,alpha,player_speed,player_state,player_phase,cam_dist,cam_pitch,fov,effects,npcs
0.017,0.0167,0.33,0.00,spear_ready,Idle,1.00,-0.29,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.033,0.0167,0.67,0.00,spear_ready,Idle,3.52,-0.29,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.050,0.0167,0.00,0.00,spear_ready,Idle,3.53,-0.28,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.067,0.0167,0.33,0.00,spear_ready,Idle,3.54,-0.28,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.083,0.0167,0.67,0.00,spear_ready,Idle,3.55,-0.27,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.100,0.0167,0.00,0.00,spear_ready,Idle,3.56,-0.27,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.117,0.0167,0.33,0.00,spear_ready,Idle,3.56,-0.26,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.133,0.0167,0.67,0.00,spear_ready,Idle,3.57,-0.26,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.150,0.0167,0.00,0.00,spear_ready,Idle,3.57,-0.26,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.167,0.0167,0.33,0.00,spear_ready,Idle,3.58,-0.25,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.183,0.0167,0.67,0.00,spear_ready,Idle,3.58,-0.25,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.200,0.0167,0.00,0.00,spear_ready,Idle,3.58,-0.24,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.217,0.0167,0.33,0.00,spear_ready,Idle,3.59,-0.24,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.233,0.0167,0.67,0.00,spear_ready,Idle,3.59,-0.24,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.250,0.0167,0.00,0.00,spear_ready,Idle,3.59,-0.24,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.267,0.0167,0.33,0.00,spear_ready,Idle,3.59,-0.23,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.283,0.0167,0.67,0.00,spear_ready,Idle,3.59,-0.23,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.300,0.0167,0.00,0.00,spear_ready,Idle,3.59,-0.23,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.317,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.23,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.333,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.22,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.350,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.22,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.367,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.22,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.383,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.22,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.400,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.22,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.417,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.433,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.450,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.467,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.483,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.500,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.21,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.517,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.533,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.550,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.567,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.583,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.600,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.617,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.633,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.650,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.667,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.20,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.683,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.700,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.717,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.733,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.750,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.767,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.783,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.800,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.817,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.833,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.850,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.867,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.883,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.900,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.917,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.933,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.950,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.967,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
0.983,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.000,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.017,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.19,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.033,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.050,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.067,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.083,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.100,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.117,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.133,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.150,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.167,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.183,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.200,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.217,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.233,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.250,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.267,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.283,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.300,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.317,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.333,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.350,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.367,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.383,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.400,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.417,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.433,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.450,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.467,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.483,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.500,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.517,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.533,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.550,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.567,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.583,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.600,0.0167,0.00,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.617,0.0167,0.33,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
1.633,0.0167,0.67,0.00,spear_ready,Idle,3.60,-0.18,75,effect.braced,npc.ashen_hollow.kera_voss=0.00:idle;npc.ashen_hollow.renn_vale=0.00:idle;npc.ashen_hollow.sel_arien=0.00:idle;npc.ashen_hollow.tavar_orr=0.00:idle
